DRUGS,ROOTS,VARIANTS
ketoprofen,"ketoprofen, ketoprofen gh, ketoprofene, ketoprofene gd, ketoprofene gh","ketoprofen,
ketoprofen suppo,
ketoprofen gh,
ketoprofen gh cp,
ketoprofen gh suppo,
ketoprofen gh suppositoire,
ketoprofen suppo gh
ketoprofene 100,
ketoprofene 100 mg,
ketoprofene suppo,
ketoprofene gh suppositoire,
ketoprofene suppo gd"
ketum,"ketum, ketum loc t dose","ketum,
ketum gel,
ketum 2,5% gel loc t dose/ 120"
kid soulag doux,kid soulag doux,kid soulag doux
kidoo,kidoo,kidoo sp
kinafon,kinafon,"kinafon 80 mg,
kinafon cp,
kinafon sup"
"kinal, kinal codeine","kinal, kinal codeine","kinal,
kinal cp,
kinal codeine"
kit perf," kit perf, kit perf seringue cc, 
kit perfalgan trabar, kit perfuseur, kit perfuseur serigue","kit + perfalgan+ trabar,
kit perf,
kit perf +,
kit perf + seringue 10 cc,
kit perfuseur,
kit perfuseur + serigue

"
materiel perf,materiel perf,materiel perf
kit dentaire,kit dentaire,kit dentaire
 kit exerese, kit exerese, kit exerese
klipal,"klipal, klipal codeine","klipal,
klipal 300,
klipal 300 cp,
klipal 300 mg,
klipal 300 mg comp,
klipal 600,
klipal 600 mg,
klipal 600 mg cp,
klipal 600/50 mg,
klipal 600mg,
klipal 800 cp,
klipal codeine,
klipal codeine 300,
klipal codeine 300 mg,
klipal codeine 600,
klipal codeine 600 mg,
klipal codeine 600/50,
klipal codeine comprimes"
kof clean,kof clean,kof clean
l mesitran,l mesitran,"l- mesitran,
l- mesitran pommade,
l-mesitran,
l-mesitran creme,
l-mesitran pomade,
l-mesitran pommade"
lacoma,"lacoma, lacoma t","lacoma collyre,
lacoma t"
lacteol,"lacteol, lacteol pdre p en dose","lacteol,
lacteol sachet,
lacteol sachets,
lacteol scht,
lacteol 340 mg pdre p susp buv en sachet dose"
lactiv,"lactiv, lactive","lactiv,
lactiv solution,
lactive solution"
lactoex,lactoex,lactoex sachet
laino,laino,laino gel creme
age,age,lait 1 age
nursie confort,"nursie confort, nursie expertise","lait nursie expertise 1,
nursie confort"
prenursie,prenursie,"lait pre nursie,
prenursie 1"
lamaline,lamaline,"lamaline,
lamaline comprimes,
lamaline gelules"
lame bistouri,lame bistouri,lame bistouri
lamisil,lamisil,lamisil 1%
lamotrigine,"lamotrigine, lamotrigine arrow","lamotrigine 100 mg,
lamotrigine 50 mg,
lamotrigine arrow"
lansinoh,lansinoh,lansinoh pommade
lantus,"lantus, lantus solostar, lantus u","lantus,
lantus u 100,
lantus solostar"
largactil,largactil,"largactil 100 mg,
largactil 100 mg cp"
laridox,laridox,laridox
larmabak,larmabak,"larmabak,
larmabak collyre"
laroscorbine,laroscorbine,"laroscorbine,
laroscorbine cp"
laroxyl,laroxyl,"laroxyl,
laroxyl cp 25 mg,
laroxyl gouttes,
laroxyl gtte,
laroxyl gttes"
lasilix,lasilix,"lasilix 20 mg,
lasilix 20mg inj,
lasilix 40,
lasilix 40 mg,
lasilix 40mg"
latano,"latano, latanocom","latano collyre,
latanocom coll,
latanocom collyre"
lavage,lavage,lavage auriculaire
lemonex,lemonex,"lemonex,
lemonex 5/10,
lemonex comprime,
lemonex cp,
lemonex sp"
leos,leos,"leos,
leos 25,
leos cp"
lerin,lerin,"lerin,
lerin comprimes,
lerin cp"
lesstrol,lesstrol,lesstrol 20mg
letrozole,letrozole,"letrozole 2,5,
letrozole 2,5 mg,
letrozole 2,5mg"
leutrien,leutrien,"leutrien,
leutrien 10,
leutrien 10 cp,
leutrien 10 mg,
leutrien 10mg,
leutrien 10mg comprime,
leutrien 5,
leutrien 5 mg,
leutrien 5 mg cp,
leutrien cp 10 mg,
leutrien cp 4 mg,
leutrien cp 5 mg"
levemir,levemir,levemir
levobact,levobact,"levobact,
levobact 500 mg"
levofloxacine,levofloxacine,levofloxacine 500
levonox,levonox,"levonox 0,4"
levophta,"levophta, levophta colllyre","levophta,
levophta - 0,05%, fl/5ml,
levophta coll,
levophta colly,
levophta collyre,
levophta colllyre"
levothyrox,levothyrox,"levothyrox 100g,
levothyrox 75 g"
levotop,levotop,levotop comp
lexomil,lexomil,"lexomil 6 mg,
lexomil 6mg"
 libido women,"libido lady denk, libido women","libido lady denk,
libido women"
lidene,lidene,lidene
lioresal,lioresal,"lioresal - 10mg comprime,
lioresal 10 mg"
lipanthyl,lipanthyl,lipanthyl
lipikar,"lipikar, lipikar ap baume, lipikar ap m baume, lipikar ap u baume, 
lipikar baume, lipikar baume ap m, lipikar huile lavante, lipikar pain, 
lipikar savon, lipikar u baume, lipikar urea","lipikar 10 + u baume,
lipikar ap+ m baume,
lipikar ap+ u baume,
lipikar ap+baume,
lipikar baume,
lipikar baume ap+m,
lipikar gel,
lipikar lait,
lipikar huile lavante,
lipikar pain,
lipikar savon,
lipikar urea 10"
liposic,"liposic, liposic opht, liposic ophtalmique, liposic pmd","liposic,
liposic gel,
liposic pommade,
liposic pmd,
liposic gel opht,
liposic gel ophtalmique"
lirapyn,lirapyn,"lirapyn 75,
lirapyn 75 mg"
litamol,litamol,"litamol,
litamol 500 mg,
litamol 500mg cp,
litamol cp"
locapred,"locapred, locapred pommad, locapred pour cent","locapred,
locapred creme,
locapred pommade,
locapred 0,1 pour cent creme,
locapred pommad"
locatop,"locatop, locatop peitel locapred","locatop,
locatop 0,1%, creme,
locatop creme,
locatop / peitel /locapred creme"
locoid,locoid,locoid creme
lodoz,lodoz,"lodoz 2,5/6,25"
lof,lof,lof
lofnac,"lofnac, lofnac p","lofnac 50 mg,
lofnac cp,
lofnac gel,
lofnac p comp"
lolip,lolip,"lolip 10,
lolip 10 mg,
lolip 10 mg cp,
lolip 20,
lolip 20 mg,
lolip 20mg,
lolip 50 mg,
lolip10"
lomexin,lomexin,"lomexin 2%,
lomexin creme"
lonexin,lonexin,lonexin creme
lorinol,lorinol,lorinol 10
losofen,losofen,losofen sp
nettoyant yaffa,nettoyant yaffa,lotion nettoyant yaffa
lovenox,lovenox,"lovenox 0,4,
lovenox 0,6"
loxen,"loxen, loxen a liberation prolongee","loxen 20,
loxen cp,
loxen lp 50,
loxen lp 50 mg,
loxen lp 50mg lp,
loxen lp 50 mg gelule a liberation prolongee"
loxtra,"loxtra, loxtra colllyre","loxtra,
loxtra collyre,
loxtra colllyre"
lubrifiant vaginal man,lubrifiant vaginal man,lubrifiant vaginal man
lubrinex,lubrinex,lubrinex collyre
ludeal ge,ludeal ge,ludeal ge cp
lukagen,lukagen,lukagen 10
lumirelax,lumirelax,lumirelax
lumiskin serum biobalance,lumiskin serum biobalance,lumiskin serum biobalance
lutenyl,lutenyl,"lutenyl,
lutenyl cp"
lysoflam,"lysoflam, lysoflam ou adilpara","lysoflam,
lysoflam cp,
lysoflam gel,
lysoflam pde,
lysoflam pommade,
lysoflam ou adilpara sp"
maalox,"maalox, maalox sach, maalox sh","maalox,
maalox 500 mg,
maalox cp,
maalox sachet,
maalox sch,
maalox stick,
maalox sach,
maalox sh"
macromax,"macromax, macromax azix","macromax,
macromax 500,
macromax 500 mg,
macromax cp,
macromax sirop,
macromax sp,
macromax suspension,
macromax 500 azix 500 mg"
maglife,maglife,"maglife,
maglife 100,
maglife 100mg"
mag,"mag, mag ii, mag marin","mag 2,
mag 2 +,
mag 2 100 mg ampoule buvable,
mag 2 amp,
mag 2 amp buvable,
mag 2 ampoule,
mag 2 ampoules,
mag 2 cp,
mag ii,
mag ii amp,
mag ii cp,
mag marin fort"
magne,"magne, magne denk, magnes, magnes active, magnes active denk,
 magnes denk, 
magnes denk active, magnes direct, magnes direct denk,
magnes marin
magnesium, magnesium biofar, magnesium marin, 
magnesium ripharma, magnesium vit","magne b6,
magne b6 comp,
magne b6 cp,
magne denk,
magnes active,
magnes active denk,
magnes b6,
magnes denk,
magnes denk stick,
magnes denk active,
magnes direct,
magnes direct denk,
magnes marin
magnesium,
magnesium forte,
magnesium vit b6,
magnesium b6 biofar cp efferv,
magnesium fort marin,
magnesium marin,
magnesium marin fort,
magnesium marin fort cp,
magnesium marin fort gelules,
magnesium ripharma"
magnoral,"magnoral, magnoral ampl","magnoral,
magnoral ampl"
malacur,malacur,"malacur 40/320,
malacur cp 40/320"
maloxine,maloxine,"maloxine,
maloxine comp,
maloxine cp"
maltofer,maltofer,maltofer
malva,malva,"malva 200,
malva 200 mg,
malva comp,
malva cp"
manix lubrifiant,manix lubrifiant,manix gel lubrifiant
marie diallo repousse,marie diallo repousse,marie diallo repousse
marimer,"marimer, marimer bebe, marimer hygiene, marimer hypertonique,
marimer nasal, marimer nasale, marimer spary nasal","marimer,
marimer spray,
marimer bebe,
marimer hygiene,
marimer hypertonique,
marimer solution nasale,
marimer spary nasal,
marimer spray nasal"
masque yafa,masque yafa,masque yafa
maxiclav,maxiclav,maxiclav
maxidrol,"maxidrol, maxidrol ohpta, maxidrol pd, maxidrol pmd, maxidrol pom ophtalm","maxidrol,
maxidrol collyre,
maxidrol gttes,
maxidrol pde,
maxidrol pmde,
maxidrol pommade,
maxidrol pd,
maxidrol pmd,
maxidrol pom ophtalm,
maxidrol pommade ohpta"
maxilase,"maxilase, maxilase ou equivalent","maxilase,
maxilase amp,
maxilase cp,
maxilase sirop,
maxilase sp,
maxilase ou equivalent"
maxillase,maxillase,"maxillase,
maxillase sirop"
maximag,maximag,"maximag,
maximag amp,
maximag amp buv,
maximag sirop buvable,
maximag sp"
meben,"meben, meben gh, mebendazole","meben,
meben 500mg,
meben cp,
meben sp,
meben gh cp,
mebendazole"
meclon,"meclon, meclon ov","meclon,
meclon ovule,
meclon ovules,
meclon ov"
mediclav,mediclav,"mediclav,
mediclav 1000 mg,
mediclav 1g,
mediclav 1g sachet,
mediclav 500 mg cp,
mediclav 500 mg sachets,
mediclav sirop"
medigesic,medigesic,"medigesic,
medigesic forte,
medigesic lotion"
medrol,medrol,"medrol 16,
medrol 16 mg,
medrol 16mg
"
megacef,megacef,"megacef 100 mg,
megacef 100mg sp,
megacef 100mg/5ml,
megacef 200,
megacef 200 mg,
megacef 200mg,
megacef cp 200 mg,
megacef gel,
megacef sirop 100,
megacef sirop 100 mg,
megacef sirop 40,
megacef sirop 40 mg,
megacef sirop 40mg,
megacef sp,
megacef sp 100 mg"
megacid,megacid,megacid sp
megamylase,"megamylase, megamylase ou equivalent","megamylase 300,
megamylase 3000,
megamylase sirop,
megamylase sp,
megamylase ou equivalent"
melasreen cencentre,"melascreen cencentre, melascreen depigmentant","melascreen cencentre creme,
melascreen depigmentant"
melatonine pharma,melatonine pharma,melatonine 1000 forte pharma
melex,melex,"melex,
melex 1mg,
melex cp"
melocam,melocam,"melocam 7,5 mg
"
meloxicam,meloxicam,"meloxicam 15 mg cp,
meloxicam sp 15 mg
"
menactra,"menactra, menactra seringue a insuline","menactra,
menactra injectable,
menactra + seringue a insuline

"
menectra,menectra,menectra inj
mepivacaine,mepivacaine,"mepivacaine
"
mequi gh,mequi gh,"mequi gh cp
"
metagen,metagen,"metagen comp,
metagen cp
"
meteospasmyl,meteospasmyl,"meteospasmyl,
meteospasmyl cp,
meteospasmyl gel,
meteospasmyl gelule,
meteospasmyl gelules
"
meteoxane,meteoxane,"meteoxane,
meteoxane -,
meteoxane cp,
meteoxane gel,
meteoxane gelule,
meteoxane goutte"
metformine,"metformin denk, metformine, metformine denk, metformine gh","metformin denk 850 mg cp,
metformine 1000,
metformine 1000 mg,
metformine 1000mg,
metformine 1g,
metformine 250 mg,
metformine 500,
metformine 500 mg,
metformine 850,
metformine cp 1000 mg,
metformine 1000 gh,
metformine gh 1000,
metformine gh 1000 lp,
metformine gh 1000 mg lp,
metformine 1000 denk,
metformine denk 500,
metformine denk 850"
methotrexate,methotrexate,"methotrexate 10 mg,
methotrexate 2,5,
methotrexate 2,5mg,
methotrexate cp 10 mg"
metro,"metro, metro gh, metro mg, metronidazole","metro 500,
metro 500 cp,
metro 500 mg,
metro 500 mg cp,
metro500 mg,
metro gh,
metro gh 500,
metro gh 500 mg,
metronidazole 125 mg,
metronidazole 125mg sp,
metronidazole 500,
metronidazole cp"
s,s,mg 2 + s
mg  plus,mg  plus,mg 2 plus
micozal,micozal,"micozal creme,
micozal pommade"
microlax,"microlax, microlax bebe","
microlax adulte,
microlax bebe"
miel,miel,miel
migretil,migretil,"migretil,
migretil cp,
migretil sp"
minoxidil bailleul p appl cut,minoxidil bailleul p appl cut,minoxidil bailleul 2% sol p appl cut
miorel,"miorel, miorel cprimes, miorel cps","miorel,
miorel 4 mg,
miorel 4 mg gelule,
miorel 4mg,
miorel 4mg cp,
miorel cp,
miorel gel,
miorel gelules,
miorel gelules 4 mg,
miorel inj,
miorel injectable,
miorel cps,
miorel cprimes"
miso,"miso, misoclear, misoclear mcg","miso, misoclear,
misoclear cp,
misoclear 200 mcg"
misodia,misodia,misodia
mixtard,mixtard,mixtard 30
mmetranidazole,mmetranidazole,mmetranidazole
modopar,modopar,"modopar 125 mg,
modopar 62,5 mg"
moken,moken,"moken 200 g
"
molgam,molgam,molgam 1000 mg
molutrex,molutrex,molutrex
mometasone arrow,"mometasone arrow, mometasone nasale","mometasone arrow,
mometasone arrow solution,
mometasone suspension nasale"
monkast,monkast,"monkast 4 mg,
monkast 5mg cp"
monoprost,monoprost,"monoprost,
monoprost 50g/ml,
monoprost colly"
montec,montec,"montec,
montec 10,
montec 10 mg,
montec 5 mg cp,
montec 5mg cp"
monuril,monuril,"monuril,
monuril 3g,
monuril 3g sachet,
monuril sachet"
motilium,motilium,"motilium 10mg,
motilium cp"
mouche bebe,mouche bebe,mouche bebe
moxifloxe,moxifloxe,moxifloxe
mucogyne,mucogyne,mucogyne
mucomyst,"mucomyst, mucomyst sach","mucomyst,
mucomyst 200 mg,
mucomyst sachet,
mucomyst sch,
mucomyst sach"
mucopain,mucopain,"mucopain,
mucopain gel"
mukestat,mukestat,"mukestat 150,
mukestat 150 mg"
multical,"multical, multical sach","multical plus,
multical plus sachet,
multical sachet,
multical plus sach"
multivit,multivit,"multivit,
multivit sp"
mumfer,mumfer,mumfer sp
muscurel,muscurel,"muscurel,
muscurel 8mg cp,
muscurel cp"
mycocide,mycocide,mycocide
mycoderme,"mycoderme, mycoderme t","mycoderme - 1%, t/40g,
mycoderme creme,
mycoderme ovule"
mycolex,mycolex,mycolex creme
mycoster,"mycoster, mycoster loc, mycoster pmd, mycoster poudre, 
mycoster pour application cutane, mycoster pour application cutanee, 
mycoster ver, mycoster vernis","mycoster,
mycoster 1%,
mycoster 8%,
mycoster creme,
mycoster pmde,
mycoster pommade,
mycoster solution,
mycoster spray,
mycoster pmd,
mycoster sol loc,
mycoster ver,
mycoster 1% solution pour application cutane,
mycoster 1% solution pour application cutanee,
mycoster poudre,
mycoster vernis"
mydriaticum,mydriaticum,"mydriaticum 0,5% col
"
mynocine,mynocine,"mynocine 100 mg
"
myocalm,myocalm,"myocalm,
myocalm cp,
myocalm gel
"
myoxeril,myoxeril,"myoxeril,
myoxeril 10,
myoxeril 10 mg,
myoxeril 10mg,
myoxeril comprime,
myoxeril cp"
n t tus,n t tus,n t tus sirop
n.t.tus,n.t.tus,n.t.tus sirop
naabak,naabak,"naabak,
naabak col,
naabak collyre"
naaxia,naaxia,"naaxia collyre,
naaxia gtte"
nabyol,nabyol,nabyol forte
nan,nan,nan 1
naproxene,naproxene,naproxene
naso gh,"nasoaldo, nasoaldo ou nasonex
naso gh, naso gh enft,
nasonex, nasonex d, nasonex doses, nasonex ds, nasonex nasal, 
nasonex nasale, nasonex pn, nasonex pulv nas, nasonex pulverisation","naso aldo,
naso aldo spray,
nasoaldo,
nasoaldo sp,
nasoaldo spray,
nasoaldo sr,
nasoaldo ou nasonex
naso gh,
naso gh 0,05%,
naso gh adulte,
naso gh enft
nasonex,
nasonex 120,
nasonex 140,
nasonex 40,
nasonex 50,
nasonex spray,
nasonex spray 120,
nasonex - 50mcg/d, fl/120d,
nasonex 120 ds,
nasonex spray 40 ds,
nasonex pn,
nasonex 120 doses,
nasonex 120 doses spray,
nasonex 150 doses,
nasonex 40 doses,
nasonex spray 120 doses,
nasonex 120 spray nasal,
nasonex spray nasal,
nasonex 40 solution nasale,
nasonex pulv nas,
nasonex pulverisation"
natura gold,natura gold,"natura gold,
natura gold gelules"
naturex,"naturex, naturex roll on nan","naturex,
naturex sirop,
naturex sp,
naturex roll on - nan"
nauselium,nauselium,"nauselium,
nauselium 10mg,
nauselium cp,
nauselium sirop,
nauselium suspension"
nausicalm,nausicalm,"nausicalm,
nausicalm 50 mg gel adulte"
nealgyl,nealgyl,nealgyl cp
nebilong am,nebilong am,nebilong am 5 mg
nebutamol,nebutamol,nebutamol
neubutamol,neubutamol,"neubutamol sirop,
neubutamol sp"
neex,neex,"neex,
neex sp"
nemozole,nemozole,nemozole 400 mg
neo,neo,neo
neocip,neocip,"neocip 500,
neocip 500 mg"
neofixim,neofixim,neofixim 200 mg
neomox,neomox,"neomox 1g,
neomox 1g cp"
neopred,neopred,"neopred,
neopred collyre"
neovital,neovital,"neovital,
neovital cp"
netazox,"netazox, netazox disp, netazox disper","netazox,
netazox - 100mg/5ml, fl/30ml,
netazox 100,
netazox 200,
netazox 200 mg,
netazox 200 mg 15 ml,
netazox 200 mg cp,
netazox 200 mg cp dispersible,
netazox 200mg cp,
netazox 500,
netazox 500 cp,
netazox 500 mg,
netazox 500mg cp,
netazox comp 200mg,
netazox cp,
netazox cp 200 mg,
netazox cp dispersible,
netazox sirop,
netazox sp,
netazox suspension,
netazox 200 cp disper,
netazox 200 mg cp disp"
nelazox,nelazox,nelazox sp
neucipro,neucipro,"neucipro 500,
neucipro gttes"
neuclav,neuclav,"neuclav 1 g,
neuclav 1g,
neuclav 1g sachet,
neuclav 1g scht,
neuclav 500 mg,
neuclav 500 mg scht,
neuclav sachet 250 mg,
neuclav sachet 500 mg"
neuclox,neuclox,neuclox 500
neuesome,"neuesome, neuesome d","neuesome,
neuesome 40 mg,
neuesome d,
neuesome d gel,
neuesome d gelules"
neufer,neufer,neufer
neuheptavit,neuheptavit,"neuheptavit,
neuheptavit sirop,
neuheptavit sp"
neuibu p,neuibu p,neuibu p
neulopat,neulopat,"neulopat,
neulopat collyre"
neulora,neulora,"neulora,
neulora 5 mg,
neulora 5mg,
neulora cp"
neumetro,neumetro,neumetro 500
neurispe,neurispe,neurispe 2 mg
neurobion,neurobion,"neurobion,
neurobion cp,
neurobion cpes"
neurodol,"neurodol, neurodol r","neurodol,
neurodol pommade,
neurodol r"
neurogab,neurogab,"neurogab 75,
neurogab 75 mg capsule"
neurogil,neurogil,"neurogil,
neurogil 75,
neurogil 75 mg,
neurogil 75 mg gelules,
neurogil 75mg,
neurogil cp 75 mg"
neurola,neurola,"neurola,
neurola sirop"
neurontin,neurontin,neurontin 300 mg
neusome d,neusome d,neusome d
neutraderm,"neutraderm, neutraderm baume relipidant, neutraderm hydradant, 
neutraderm hydratante, neutraderm intime, neutraderm pain, 
neutraderm pain surgras, neutraderm pm, neutraderm psavon liquide, 
neutraderm relipid pls, neutraderm savon surgras, neutraderm surgras","neutraderm,
neutraderm sp,
neutraderm pm,
neutraderm baume relipidant,
neutraderm creme hydratante,
neutraderm gel creme hydradant,
neutraderm gel intime,
neutraderm pain,
neutraderm pain surgras,
neutraderm psavon liquide,
neutraderm relipid pls,
neutraderm savon surgras,
neutraderm surgras"
neutrocold,neutrocold,"neutrocold,
neutrocold sachet,
neutrocold sp"
neutropar,neutropar,neutropar 1g inj
neutrum serum physio,neutrum serum physio,neutrum serum physio
nidazol,"nidazol, nidazole","nidazol 500,
nidazol 500 cp,
nidazol 500 mg,
nidazol 500 mg cp,
nidazol 500mg cp,
nidazol cp,
nidazol cp 500 mg,
nidazole 500,
nidazole 500 mg cp"
nifedi denk,"nifedi denk, nifedipine denk","nifedi denk 10,
nifedi denk 10 mg,
nifedi denk 20,
nifedipine denk 20 mg"
niflugel,niflugel,"niflugel,
niflugel pommade"
nifluril,"nifluril, nifluril supp","nifluril 250 gel,
nifluril cp,
nifluril creme,
nifluril gel 250mg,
nifluril pomade,
nifluril suppo,
nifluril 400mg supp"
nim,nim,"nim 100,
nim 100 cp"
nitrate d'argent,nitrate d'argent,nitrate d'argent
nospa,nospa,"no spa,
no spa fort,
no spa forte,
no spa forte cp,
nospa forte"
nomyc,"nomyc, nomyc ou","nomyc 100 ou 150 mg,
nomyc 150 mg"
nonyc,nonyc,"
nonyc 150 mg"
norflozole,norflozole,"norflozole,
norflozole 500,
norflozole cp,
norflozole cpes,
norflozole sirop,
norflozole sp,
norflozole suspension"
normacol,normacol,normacol
normet,"normet, normet ou norflozol","normet,
normet cp,
normet sirop,
normet sp,
normet sp ou norflozol"
normix,normix,"normix,
normix 200,
normix cp"
normocardil,normocardil,normocardil 40
novalgin,"novalgin, novalgine","novalgin inj,
novalgine,
novalgine -500,
novalgine 1g,
novalgine 500,
novalgine 500 comprimes,
novalgine 500 mg,
novalgine 500 mg cp,
novalgine 500mg,
novalgine cp,
novalgine cp 500 mg,
novalgine sirop,
novalgine sp"
novex,novex,"novex 0,4,
novex 0,4 inj,
novex 0,4 ui"
novoclin,"novoclin, novoclin st, novocling","novoclin,
novoclin 1 g,
novoclin 1000,
novoclin 1g,
novoclin 1g sachet,
novoclin 1g sachets,
novoclin 250,
novoclin 250 mg,
novoclin 500,
novoclin 500 mg,
novoclin 500 mg sachet,
novoclin1g,"
novomix,novomix,"novomix,
novomix 30,
novomix 60"
novophane,novophane,"novophane gelule,
novophane lotion"
novorapid,"novorapid, novorapide","novorapid, 
novorapide"
nucleo cmp,nucleo cmp,"nucleo cmp,
nucleo cmp fort,
nucleo cmp forte"
nuflugel,nuflugel,nuflugel creme
nugel,"nugel, nugel ss","nugel cp,
nugel sirop,
nugel sp,
nugel ss"
nupenta,"nupenta, nupenta dsr","nupenta,
nupenta dsr,
nupenta dsr cp"
nurabol,nurabol,"nurabol cp,
nurabol sp,
nurabol sp 4 mg / 5ml"
nuravit,nuravit,"nuravit,
nuravit sirop,
nuravit sp"
nystatine,"nystatine, nystatine ov","nystatine ov,
nystatine ovule,
nystatine sp"
o max sro,o max sro,o max sachets sro
ocugard,ocugard,"ocugard

"
ocuguard,ocuguard,"ocuguard,
ocuguard comprime,
ocuguard cp,
ocuguard gelules"
odia,"odia, odia ou irys ou diapride ou glimeron, odia ou irys ou ou geron","odia 4 mg,
odia 4 mg ou irys 4 ou diapride 4 ou glimeron 4,
odia 4mg ou irys 4 ou diapride 4 ou glimeron 4,
odia 4 mg ou irys 4 ou diapride4 ou geron 4"
oedes,"oedes, oedes mg gelule","oedes,
oedes 20,
oedes 20 gelule,
oedes 20 mg,
oedes 20 mg cp,
oedes 20mg,
oedes cp,
oedes cp 20 mg,
oedes gel 20 mg,
oedes20 mg gelule
"
oesdes,oesdes,oesdes 20 mg gel
ofiken,ofiken,"ofiken,
ofiken 100 mg,
ofiken 100 sirop,
ofiken 100mg ( 60ml),
ofiken 100mg sp,
ofiken 200,
ofiken 200 cp,
ofiken 200 mg,
ofiken 200 mg comprime,
ofiken 200mg,
ofiken sirop,
ofiken sp,
ofiken sp enfant"
oflocet,"oflocet, oflocet auric","oflocet,
oflocet 200,
oflocet 200mg,
oflocet auriculaire,
oflocet gouttes auriculaires,
oflocet gtte,
oflocet gtte auriculaire,
oflocet solution,
oflocet solution auriculaire,
oflocet 1,5mg/0,5ml sol auric"
oflomac,"oflomac, oflomac od, oflomac oz","oflomac 200,
oflomac od,
oflomac oz,
oflomac oz cp"
ofloswiz o,ofloswiz o,ofloswiz o
ofloxacine,ofloxacine,ofloxacine collyre
ofusidic,ofusidic,"ofusidic,
ofusidic collyre"
ogestan,ogestan,"ogestan,
ogestan cp"
olfen,olfen,"olfen 75 cp,
olfen gel"
oligobs,"oligobs, oligobs allaitement, oligobs grossesse
oligobscp","oligobs allaitement,
oligobs cp,
oligobs grossesse
oligobscp"
olopat,olopat,olopat collyre
omax,omax,omax sachets
omefer,omefer,omefer 20 mg
omegen,omegen,"omegen,
omegen 20mg,
omegen cp"
omepral,"omepral, omepral gh","omepral,
omepral 20,
omepral 20 mg,
omepral 20mg,
omepral 20mg gelules,
omepral cp,
omepral gel,
omepral gh"
"mycoderme, mycoderme t","omeprazol, omeprazole, omeprazole vir","omeprazol,
omeprazol 20,
omeprazol 20 mg,
omeprazol 20 mg cp,
omeprazol cp,
omeprazol sirop,
omeprazole,
omeprazole 20 mg,
omeprazole 20 mg cp,
omeprazole 20mg,
omeprazole gelule,
omeprazole inj,
omeprazole injecatble,
omeprazole vir 20 mg"
omicap,omicap,omicap 20 mg
omit,omit,omit cp 20 mg
omiz,"omiz, omizec","omiz 40 mg cp,
omiz cp,
omizec 20 mg,
omizec gel 20 mg"
omnipaque,omnipaque,"omnipaque 100ml,
omnipaque 350 mg,
omnipaque 350mg"
one v kit,one v kit,one v kit
opatanol,"opatanol, opatanol colr","opatanol,
opatanol col,
opatanol colly,
opatanol collyre,
opatanol gttes,
opatanol colr"
optidex t,optidex t,"optidex t,
optidex t collyre"
optiflox,optiflox,"optiflox,
optiflox collyre"
optifresh,optifresh,"optifresh,
optifresh colly,
optifresh collyre"
optimol,optimol,optimol collyre
optipred,optipred,"optipred,
optipred colly,
optipred collyre"
optiserum,"optiserum, optiserum monodoses","optiserum,
optiserum -,
optiserum solution,
optiserum unidose,
optiserum monodoses"
optovisc,optovisc,optovisc collyre
orchazid,orchazid,"orchazid,
orchazid collyre"
orelox,"orelox, orelox doses","orelox 200,
orelox 40,
orelox 40/5,
orelox 40mg,
orelox enfant,
orelox sirop,
orelox sp,
orelox 200 doses"
oreperidys,oreperidys,oreperidys
oroperidys,"oroperidys, oroperidys cpe","oroperidys,
oroperidys 10 mg,
oroperidys cp,
oroperidys cpe"
orex,"orex, orex sl","orex 125 mg sl,
orex 250 mg,
orex 250 mg sirop,
orex 250 mg sp,
orex 250mg sirop"
orocef,orocef,"orocef 200
"
orofer,orofer,"orofer,
orofer c"
oroken,"oroken, oroken enfants poudre pour, oroken suso","oroken 100,
oroken 100mg/5ml,
oroken 200,
oroken 200 mg,
oroken 200mg comprimes,
oroken 40 sirop,
oroken 40mg,
oroken 500 mg sirop,
oroken cp,
oroken enfant,
oroken sirop,
oroken sirop 100,
oroken sp,
oroken sp 40 mg,
oroken susp buv,
oroken enfants 100 mg / 5ml poudre pour suspension buvable,
oroken suso buv"
orozamudol,orozamudol,orozamudol cp
oscar,oscar,oscar 75
osmogel,osmogel,osmogel
osmule,"osmule, osmule sacht, osmule sro","osmule,
osmule sachet,
osmule sachets,
osmule sro,
osmule sacht"
ospamox,ospamox,"ospamox,
ospamox 1000,
ospamox 1g,
ospamox 1g cp,
ospamox 250 sirop,
ospamox comprime 1g"
ospen,ospen,"ospen,
ospen 1000,
ospen 1000 cp,
ospen 1mui"
otipax,"otipax, otipax auric","otipax,
otipax gouttes,
otipax gttes,
otipax gttes auric"
otofa,otofa,"otofa gouttes auriculaires,
otofa gtte"
otolaya,otolaya,"otolaya,
otolaya solution auriculaire,
otolaya spray"
otrivine,"otrivine, otrivine inhalation, otrivine nasale","otrivine,
otrivine 0,05%,
otrivine 0,5 ,
otrivine 1 %,
otrivine adulte,
otrivine gel,
otrivine spray,
otrivine inhalation,
otrivine solution nasale"
ov power,ov power,ov power
ovitrelle,ovitrelle,"ovitrelle,
ovitrelle 250 g"
ovumix,"ovumix, ovumix ov, ovumix ovle","ovumix,
ovumix ovule,
ovumix ovules,
ovumix ov,
ovumix ovle"
oxalair,oxalair,"oxalair 125g,
oxalair spray"
oxclav,oxclav,oxclav 500 mg
oxiclav,oxiclav,oxiclav 500 mg
oxyboldine,oxyboldine,"oxyboldine,
oxyboldine cp"
